Subj,Trial,MarketChange,AbsMarketChange,Val_1up,group_0placebo,Exp
1,116,-9.793061084,9.793061084,0,0,-3
1,117,-3.461834645,3.461834645,0,0,-2
1,181,3.622360642,3.622360642,1,0,-2
1,111,-4.579460702,4.579460702,0,0,-2
1,180,-4.815204351,4.815204351,0,0,-2
1,101,5.026321529,5.026321529,1,0,-2
1,115,-5.254040652,5.254040652,0,0,-2
1,176,-7.838731823,7.838731823,0,0,-2
1,121,-10.69606393,10.69606393,0,0,-2
1,122,-11.22491202,11.22491202,0,0,-2
1,108,-1.36489404,1.36489404,0,0,-1
1,179,-2.040742963,2.040742963,0,0,-1
1,188,-2.42079067,2.42079067,0,0,-1
1,189,-2.886022201,2.886022201,0,0,-1
1,184,-3.677786512,3.677786512,0,0,-1
1,106,-3.98182224,3.98182224,0,0,-1
1,193,-4.05563919,4.05563919,0,0,-1
1,130,-4.545439396,4.545439396,0,0,-1
1,156,-4.57459954,4.57459954,0,0,-1
1,170,-4.588037331,4.588037331,0,0,-1
1,167,-4.624137019,4.624137019,0,0,-1
1,103,-5.116950463,5.116950463,0,0,-1
1,175,-5.553293581,5.553293581,0,0,-1
1,196,5.569989983,5.569989983,1,0,-1
1,162,-6.58702397,6.58702397,0,0,-1
1,120,-6.834665894,6.834665894,0,0,-1
1,154,-7.418955166,7.418955166,0,0,-1
1,155,-7.429993933,7.429993933,0,0,-1
1,137,-9.455148774,9.455148774,0,0,-1
1,164,-0.005901601,0.005901601,0,0,0
1,163,0.008740533,0.008740533,1,0,0
1,147,-0.112384821,0.112384821,0,0,0
1,125,-0.157743791,0.157743791,0,0,0
1,109,-0.205823325,0.205823325,0,0,0
1,133,0.348428874,0.348428874,1,0,0
1,173,-0.411056851,0.411056851,0,0,0
1,199,-0.445628528,0.445628528,0,0,0
1,129,-0.597885628,0.597885628,0,0,0
1,183,-0.600139401,0.600139401,0,0,0
1,149,0.822994979,0.822994979,1,0,0
1,148,0.985078167,0.985078167,1,0,0
1,195,1.003475385,1.003475385,1,0,0
1,168,1.105012132,1.105012132,1,0,0
1,178,-1.168900577,1.168900577,0,0,0
1,194,-1.25221134,1.25221134,0,0,0
1,187,-1.261159317,1.261159317,0,0,0
1,124,1.354452992,1.354452992,1,0,0
1,152,1.377516331,1.377516331,1,0,0
1,146,1.539996457,1.539996457,1,0,0
1,114,1.610604488,1.610604488,1,0,0
1,128,1.64669252,1.64669252,1,0,0
1,166,1.672705527,1.672705527,1,0,0
1,136,1.791134438,1.791134438,1,0,0
1,198,1.831349368,1.831349368,1,0,0
1,158,-1.857817559,1.857817559,0,0,0
1,200,1.912725735,1.912725735,1,0,0
1,127,-1.997016282,1.997016282,0,0,0
1,135,2.027518359,2.027518359,1,0,0
1,138,2.215281443,2.215281443,1,0,0
1,150,-2.254907655,2.254907655,0,0,0
1,191,-2.289542348,2.289542348,0,0,0
1,151,2.318096721,2.318096721,1,0,0
1,141,2.319022465,2.319022465,1,0,0
1,113,-2.524376725,2.524376725,0,0,0
1,160,-2.691835184,2.691835184,0,0,0
1,123,-2.715870881,2.715870881,0,0,0
1,190,2.84255725,2.84255725,1,0,0
1,140,-2.930271988,2.930271988,0,0,0
1,186,-3.045263987,3.045263987,0,0,0
1,171,3.589471815,3.589471815,1,0,0
1,185,3.949878243,3.949878243,1,0,0
1,144,4.215563727,4.215563727,1,0,0
1,192,4.597973489,4.597973489,1,0,0
1,143,4.782202602,4.782202602,1,0,0
1,157,5.145569796,5.145569796,1,0,0
1,118,5.214557236,5.214557236,1,0,0
1,102,0.85500229,0.85500229,1,0,1
1,132,1.996390046,1.996390046,1,0,1
1,172,2.018719435,2.018719435,1,0,1
1,110,2.04418231,2.04418231,1,0,1
1,107,4.068528551,4.068528551,1,0,1
1,182,4.258297752,4.258297752,1,0,1
1,131,4.563280349,4.563280349,1,0,1
1,145,-4.636870108,4.636870108,0,0,1
1,161,4.750163596,4.750163596,1,0,1
1,197,5.320481964,5.320481964,1,0,1
1,174,5.518029951,5.518029951,1,0,1
1,159,5.55343258,5.55343258,1,0,1
1,165,5.830719598,5.830719598,1,0,1
1,134,5.950979087,5.950979087,1,0,1
1,177,-6.170279447,6.170279447,0,0,1
1,142,-6.307364814,6.307364814,0,0,1
1,126,7.094309909,7.094309909,1,0,1
1,104,7.477537746,7.477537746,1,0,1
1,112,7.610348623,7.610348623,1,0,1
1,139,7.712698436,7.712698436,1,0,1
1,153,8.104989361,8.104989361,1,0,1
1,105,5.485715465,5.485715465,1,0,2
1,169,6.396274655,6.396274655,1,0,2
1,119,14.56026946,14.56026946,1,0,2
2,146,-9.375435812,9.375435812,0,0,-3
2,135,-2.162391934,2.162391934,0,0,-2
2,134,-2.446747578,2.446747578,0,0,-2
2,113,-4.170259563,4.170259563,0,0,-2
2,175,-4.869885158,4.869885158,0,0,-2
2,143,-5.049977061,5.049977061,0,0,-2
2,119,-6.463811941,6.463811941,0,0,-2
2,156,-8.063020489,8.063020489,0,0,-2
2,136,-8.749697471,8.749697471,0,0,-2
2,126,-11.82284387,11.82284387,0,0,-2
2,185,-12.79932517,12.79932517,0,0,-2
2,106,-15.92927521,15.92927521,0,0,-2
2,144,-0.848109273,0.848109273,0,0,-1
2,190,-0.871729718,0.871729718,0,0,-1
2,173,-0.977083107,0.977083107,0,0,-1
2,176,-1.195361881,1.195361881,0,0,-1
2,103,-1.498686722,1.498686722,0,0,-1
2,172,-1.633829242,1.633829242,0,0,-1
2,188,-1.711536273,1.711536273,0,0,-1
2,166,-1.890915422,1.890915422,0,0,-1
2,139,2.080212451,2.080212451,1,0,-1
2,177,-2.553129963,2.553129963,0,0,-1
2,198,-2.775289818,2.775289818,0,0,-1
2,150,-2.846055775,2.846055775,0,0,-1
2,121,3.334751707,3.334751707,1,0,-1
2,183,-3.580405621,3.580405621,0,0,-1
2,116,-4.098478318,4.098478318,0,0,-1
2,191,-4.405531912,4.405531912,0,0,-1
2,162,-4.522842389,4.522842389,0,0,-1
2,186,-4.533781206,4.533781206,0,0,-1
2,170,-4.560590011,4.560590011,0,0,-1
2,164,-4.897317875,4.897317875,0,0,-1
2,163,5.205808965,5.205808965,1,0,-1
2,137,-6.515853212,6.515853212,0,0,-1
2,160,-6.518363296,6.518363296,0,0,-1
2,110,-6.937283131,6.937283131,0,0,-1
2,148,-10.95059677,10.95059677,0,0,-1
2,142,0.189233161,0.189233161,1,0,0
2,199,-0.209379932,0.209379932,0,0,0
2,107,-0.227243239,0.227243239,0,0,0
2,197,-0.283233642,0.283233642,0,0,0
2,178,-0.314755298,0.314755298,0,0,0
2,115,-0.330139908,0.330139908,0,0,0
2,169,0.348888645,0.348888645,1,0,0
2,124,0.377327378,0.377327378,1,0,0
2,194,-0.625155585,0.625155585,0,0,0
2,155,-0.672519893,0.672519893,0,0,0
2,171,-0.701632708,0.701632708,0,0,0
2,130,-0.838654359,0.838654359,0,0,0
2,151,-0.851934974,0.851934974,0,0,0
2,141,-0.905596185,0.905596185,0,0,0
2,123,0.990468475,0.990468475,1,0,0
2,118,1.057897503,1.057897503,1,0,0
2,168,1.312903789,1.312903789,1,0,0
2,120,-1.605894184,1.605894184,0,0,0
2,117,1.733743183,1.733743183,1,0,0
2,149,1.873573379,1.873573379,1,0,0
2,187,1.876389727,1.876389727,1,0,0
2,145,2.306452906,2.306452906,1,0,0
2,161,2.47282843,2.47282843,1,0,0
2,138,-2.494765779,2.494765779,0,0,0
2,157,-2.843351701,2.843351701,0,0,0
2,109,-3.062840862,3.062840862,0,0,0
2,192,-3.479392285,3.479392285,0,0,0
2,131,-3.938769013,3.938769013,0,0,0
2,111,4.352805308,4.352805308,1,0,0
2,125,-5.075620608,5.075620608,0,0,0
2,147,11.7054404,11.7054404,1,0,0
2,174,0.717775447,0.717775447,1,0,1
2,180,1.755823075,1.755823075,1,0,1
2,165,1.775961843,1.775961843,1,0,1
2,181,1.889954565,1.889954565,1,0,1
2,122,-2.205646495,2.205646495,0,0,1
2,184,2.219999977,2.219999977,1,0,1
2,159,3.034442657,3.034442657,1,0,1
2,154,3.049972209,3.049972209,1,0,1
2,112,3.849759473,3.849759473,1,0,1
2,152,4.319410585,4.319410585,1,0,1
2,193,4.420242806,4.420242806,1,0,1
2,158,4.64547661,4.64547661,1,0,1
2,189,4.987210807,4.987210807,1,0,1
2,133,5.491132936,5.491132936,1,0,1
2,179,5.689909312,5.689909312,1,0,1
2,153,6.651482441,6.651482441,1,0,1
2,196,8.39685482,8.39685482,1,0,1
2,182,8.558156562,8.558156562,1,0,1
2,102,0.932991589,0.932991589,1,0,2
2,132,1.120247107,1.120247107,1,0,2
2,128,-1.370007852,1.370007852,0,0,2
2,129,4.76975794,4.76975794,1,0,2
2,114,4.986745701,4.986745701,1,0,2
2,200,6.450113306,6.450113306,1,0,2
2,167,9.440672969,9.440672969,1,0,2
2,140,10.37650863,10.37650863,1,0,2
2,127,10.37703835,10.37703835,1,0,2
2,195,10.8411624,10.8411624,1,0,2
2,104,2.198727673,2.198727673,1,0,3
2,105,10.64631578,10.64631578,1,0,3
2,108,17.06032313,17.06032313,1,0,3
2,101,3.769160801,3.769160801,1,0,4
3,107,-12.82141927,12.82141927,0,0,-3
3,157,-13.84317704,13.84317704,0,0,-3
3,122,-0.664723198,0.664723198,0,0,-2
3,152,-1.832741515,1.832741515,0,0,-2
3,146,-3.37827367,3.37827367,0,0,-2
3,123,-3.410890918,3.410890918,0,0,-2
3,153,-3.98098087,3.98098087,0,0,-2
3,141,-4.358329922,4.358329922,0,0,-2
3,181,-4.78912201,4.78912201,0,0,-2
3,182,-4.978783535,4.978783535,0,0,-2
3,114,-5.584049679,5.584049679,0,0,-2
3,105,-5.83399014,5.83399014,0,0,-2
3,147,-6.158518718,6.158518718,0,0,-2
3,187,-6.291669726,6.291669726,0,0,-2
3,186,-7.106363583,7.106363583,0,0,-2
3,118,8.681502888,8.681502888,1,0,-2
3,109,-8.856635958,8.856635958,0,0,-2
