group,Subj_new,block,trial,market_change,exp,expt1,port_value,portvalue_tM1_subj,portvalue_tM2_matlab,portvalue_tMJ_subj,Known_change_exp,change_exp,Kown_change,change,vWTP
0,1,1,1,0.06616,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0,1,1,2,-5.02119,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
0,1,1,3,0.82413,NaN,NaN,100,100,99,100,NaN,NaN,0,1,0
0,1,1,4,3.73273,NaN,NaN,100,NaN,100,100,NaN,NaN,NaN,NaN,0
0,1,1,5,-0.72503,NaN,NaN,100,NaN,101,100,NaN,NaN,NaN,NaN,0
0,1,1,6,1.40586,NaN,NaN,86,NaN,94,100,NaN,NaN,NaN,NaN,-1
0,1,1,7,-10.30686,NaN,NaN,86,86,93,100,NaN,NaN,-14,-7,0
0,1,1,8,3.00816,NaN,NaN,79,NaN,86,86,NaN,NaN,NaN,NaN,0
0,1,1,9,3.64969,NaN,NaN,82,79,77,86,NaN,NaN,-7,2,0
0,1,1,10,6.56966,NaN,NaN,82,82,79,79,NaN,NaN,3,3,0
0,1,1,11,7.05608,NaN,NaN,91,NaN,82,82,NaN,NaN,NaN,NaN,0
0,1,1,12,4.03489,NaN,NaN,90,91,85,82,NaN,NaN,9,6,0
0,1,1,13,-10.09161,NaN,NaN,93,90,91,91,NaN,NaN,-1,-1,0
0,1,1,14,-3.09029,NaN,NaN,93,93,90,90,NaN,NaN,3,3,0
0,1,1,15,-13.54842,NaN,NaN,78,NaN,93,93,NaN,NaN,NaN,NaN,0
0,1,1,16,-2.82903,NaN,NaN,78,78,90,93,NaN,NaN,-15,-12,0
0,1,1,17,-0.02521,NaN,NaN,76,NaN,78,78,NaN,NaN,NaN,NaN,0
0,1,1,18,3.20537,NaN,NaN,78,76,76,78,NaN,NaN,-2,0,0
0,1,1,19,7.1633,NaN,NaN,78,78,76,76,NaN,NaN,2,2,0
0,1,1,20,4.11156,NaN,NaN,78,NaN,78,78,NaN,NaN,NaN,NaN,0
0,1,1,21,3.10321,NaN,NaN,78,NaN,84,78,NaN,NaN,NaN,NaN,0
