group,Subj_new,block,trial,market_change,exp,expt1,port_value,portvalue_tM1_subj,portvalue_tM2_matlab,portvalue_tMJ_subj,Known_change_exp,change_exp,Kown_change,change,vWTP
1,34,1,1,7.22115,NaN,NaN,107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20
1,34,1,2,2.12198,NaN,NaN,109,107,NaN,NaN,NaN,NaN,NaN,NaN,5
1,34,1,3,-6.0187,NaN,NaN,109,109,107,107,NaN,NaN,2,2,NaN
1,34,1,4,-5.72709,NaN,NaN,106,NaN,109,109,NaN,NaN,NaN,NaN,2
1,34,1,5,-0.57207,NaN,NaN,106,106,102,109,NaN,NaN,-3,4,NaN
1,34,1,6,0.4115,NaN,NaN,106,NaN,106,106,NaN,NaN,NaN,NaN,3
1,34,1,7,-1.66601,NaN,NaN,106,NaN,105,106,NaN,NaN,NaN,NaN,1
1,34,1,8,-5.29217,NaN,NaN,106,NaN,105,106,NaN,NaN,NaN,NaN,26
1,34,1,9,-1.3702,NaN,NaN,105,NaN,103,106,NaN,NaN,NaN,NaN,53
1,34,1,10,-0.89241,NaN,NaN,104,105,106,106,NaN,NaN,-1,-1,1
1,34,1,11,3.05278,NaN,NaN,101,104,105,105,NaN,NaN,-1,-1,-1
1,34,1,12,-0.28787,NaN,NaN,106,101,104,104,NaN,NaN,-3,-3,1
1,34,1,13,2.22311,NaN,NaN,106,106,101,101,NaN,NaN,5,5,0
1,34,1,14,0.29567,NaN,NaN,106,NaN,106,106,NaN,NaN,NaN,NaN,0
1,34,1,15,-1.71716,NaN,NaN,106,106,108,106,NaN,NaN,0,-2,-3
1,34,1,16,5.33175,NaN,NaN,106,NaN,106,106,NaN,NaN,NaN,NaN,0
1,34,1,17,-1.91529,NaN,NaN,106,NaN,104,106,NaN,NaN,NaN,NaN,0
1,34,1,18,-2.02903,NaN,NaN,115,NaN,110,106,NaN,NaN,NaN,NaN,-2
1,34,1,19,3.54779,NaN,NaN,115,115,108,106,NaN,NaN,9,7,0
1,34,1,20,12.47301,NaN,NaN,115,NaN,115,115,NaN,NaN,NaN,NaN,13
1,34,1,21,-8.11054,NaN,NaN,115,NaN,119,115,NaN,NaN,NaN,NaN,3
1,34,1,22,-8.0672,NaN,NaN,113,NaN,134,115,NaN,NaN,NaN,NaN,0
1,34,1,23,8.51746,NaN,NaN,123,113,123,115,NaN,NaN,-2,-10,0
1,34,1,24,-5.53811,NaN,NaN,123,123,113,113,NaN,NaN,10,10,2
1,34,1,25,0.71542,NaN,NaN,108,NaN,123,123,NaN,NaN,NaN,NaN,-12
1,34,1,26,3.39838,NaN,NaN,108,108,116,123,NaN,NaN,-15,-8,0
1,34,1,27,2.20934,NaN,NaN,108,NaN,108,108,NaN,NaN,NaN,NaN,-1
1,34,1,28,-1.62588,NaN,NaN,115,NaN,112,108,NaN,NaN,NaN,NaN,3
1,34,1,29,1.23369,NaN,NaN,116,115,114,108,NaN,NaN,7,1,0
1,34,1,30,-1.79613,NaN,NaN,114,116,115,115,NaN,NaN,1,1,-2
1,34,1,31,7.94966,NaN,NaN,123,114,116,116,NaN,NaN,-2,-2,-1
1,34,1,32,-1.78337,NaN,NaN,123,123,114,114,NaN,NaN,9,9,NaN
1,34,1,33,-5.3,NaN,NaN,123,NaN,123,123,NaN,NaN,NaN,NaN,4
1,34,1,34,-9.70082,NaN,NaN,104,NaN,121,123,NaN,NaN,NaN,NaN,1
1,34,1,35,0.46141,NaN,NaN,104,104,115,123,NaN,NaN,-19,-11,0
1,34,1,36,5.01757,NaN,NaN,104,104,104,104,NaN,NaN,0,0,12
1,34,1,37,6.25989,NaN,NaN,107,NaN,104,104,NaN,NaN,NaN,NaN,-2
1,34,1,38,7.89079,NaN,NaN,100,107,109,104,NaN,NaN,3,-2,51
1,34,1,39,-11.1675,NaN,NaN,100,100,107,107,NaN,NaN,-7,-7,3
1,34,1,40,-0.67591,NaN,NaN,106,NaN,100,100,NaN,NaN,NaN,NaN,-1
1,34,1,41,-2.51606,NaN,NaN,103,106,102,100,NaN,NaN,6,4,NaN
1,34,1,42,4.47641,NaN,NaN,108,103,106,106,NaN,NaN,-3,-3,0
1,34,1,43,6.1796,NaN,NaN,108,108,103,103,NaN,NaN,5,5,0
1,34,1,44,-1.8787,NaN,NaN,108,NaN,108,108,NaN,NaN,NaN,NaN,0
1,34,1,45,12.59476,NaN,NaN,108,NaN,106,108,NaN,NaN,NaN,NaN,42
1,34,1,46,-3.12053,NaN,NaN,115,NaN,104,108,NaN,NaN,NaN,NaN,16
1,34,1,47,-3.53852,NaN,NaN,115,115,117,108,NaN,NaN,7,-2,3
1,34,1,48,-2.83314,NaN,NaN,112,NaN,115,115,NaN,NaN,NaN,NaN,0
1,34,1,49,-12.32827,NaN,NaN,98,112,115,115,NaN,NaN,-3,-3,-3
1,34,1,50,-0.25485,NaN,NaN,98,98,112,112,NaN,NaN,-14,-14,0
1,34,2,51,-10.56858,NaN,NaN,98,98,98,98,NaN,NaN,0,0,24
1,34,2,52,4.7999,NaN,NaN,98,NaN,98,98,NaN,NaN,NaN,NaN,-2
1,34,2,53,2.8584,NaN,NaN,98,NaN,89,98,NaN,NaN,NaN,NaN,2
1,34,2,54,2.18562,NaN,NaN,85,NaN,85,98,NaN,NaN,NaN,NaN,1
1,34,2,55,-2.3287,NaN,NaN,85,85,87,98,NaN,NaN,-13,-2,0
1,34,2,56,4.44686,NaN,NaN,85,NaN,85,85,NaN,NaN,NaN,NaN,0
1,34,2,57,-3.90134,NaN,NaN,87,NaN,87,85,NaN,NaN,NaN,NaN,-2
1,34,2,58,-1.36464,NaN,NaN,87,87,91,85,NaN,NaN,2,-4,0
1,34,2,59,4.19012,NaN,NaN,87,NaN,87,87,NaN,NaN,NaN,NaN,-2
1,34,2,60,4.39228,NaN,NaN,87,NaN,90,87,NaN,NaN,NaN,NaN,-1
1,34,2,61,0.64302,NaN,NaN,94,NaN,89,87,NaN,NaN,NaN,NaN,0
1,34,2,62,0.06012,NaN,NaN,94,94,93,87,NaN,NaN,7,1,5
1,34,2,63,-2.78813,NaN,NaN,87,NaN,94,94,NaN,NaN,NaN,NaN,4
1,34,2,64,0.191,NaN,NaN,87,87,89,94,NaN,NaN,-7,-2,-1
1,34,2,65,-0.22176,NaN,NaN,87,NaN,87,87,NaN,NaN,NaN,NaN,3
1,34,2,66,-6.91579,NaN,NaN,81,NaN,87,87,NaN,NaN,NaN,NaN,0
1,34,2,67,5.3945,NaN,NaN,81,81,87,87,NaN,NaN,-6,-6,0
1,34,2,68,-9.1864,NaN,NaN,88,NaN,81,81,NaN,NaN,NaN,NaN,28
1,34,2,69,-7.1078,NaN,NaN,82,88,85,81,NaN,NaN,7,3,13
1,34,2,70,2.39563,NaN,NaN,82,82,88,88,NaN,NaN,-6,-6,0
1,34,2,71,4.14926,NaN,NaN,82,NaN,82,82,NaN,NaN,NaN,NaN,1
1,34,2,72,-7.91594,NaN,NaN,95,NaN,85,82,NaN,NaN,NaN,NaN,17
1,34,2,73,9.74146,NaN,NaN,104,95,89,82,NaN,NaN,13,6,0
1,34,2,74,4.77769,NaN,NaN,104,104,95,95,NaN,NaN,9,9,0
1,34,2,75,8.43401,NaN,NaN,104,NaN,104,104,NaN,NaN,NaN,NaN,8
1,34,2,76,3.36321,NaN,NaN,104,NaN,109,104,NaN,NaN,NaN,NaN,15
1,34,2,77,7.711,NaN,NaN,115,NaN,118,104,NaN,NaN,NaN,NaN,10
1,34,2,78,-6.59357,NaN,NaN,115,115,122,104,NaN,NaN,11,-7,21
1,34,2,79,-3.43835,NaN,NaN,115,NaN,115,115,NaN,NaN,NaN,NaN,0
1,34,2,80,-1.0749,NaN,NaN,115,NaN,107,115,NaN,NaN,NaN,NaN,0
1,34,2,81,-1.41913,NaN,NaN,115,NaN,112,115,NaN,NaN,NaN,NaN,-1
1,34,2,82,-1.18619,NaN,NaN,115,NaN,115,115,NaN,NaN,NaN,NaN,0
1,34,2,83,-2.06781,NaN,NaN,112,NaN,115,115,NaN,NaN,NaN,NaN,NaN
1,34,2,84,-1.63829,NaN,NaN,112,112,114,115,NaN,NaN,-3,-2,0
1,34,2,85,-6.11711,NaN,NaN,112,NaN,112,112,NaN,NaN,NaN,NaN,0
1,34,2,86,9.00938,NaN,NaN,112,NaN,110,112,NaN,NaN,NaN,NaN,2
1,34,2,87,-6.23402,NaN,NaN,112,112,103,112,NaN,NaN,0,9,18
1,34,2,88,-5.36956,NaN,NaN,99,NaN,112,112,NaN,NaN,NaN,NaN,1
1,34,2,89,2.23836,NaN,NaN,99,99,105,112,NaN,NaN,-13,-6,4
1,34,2,90,-2.47963,NaN,NaN,92,NaN,99,99,NaN,NaN,NaN,NaN,2
1,34,2,91,10.88254,NaN,NaN,102,92,94,99,NaN,NaN,-7,-2,1
1,34,2,92,-5.27754,NaN,NaN,108,102,92,92,NaN,NaN,10,10,-24
1,34,2,93,12.13204,NaN,NaN,108,108,102,102,NaN,NaN,6,6,-3
1,34,2,94,8.5822,NaN,NaN,131,NaN,108,108,NaN,NaN,NaN,NaN,20
1,34,2,95,-1.34278,NaN,NaN,129,131,121,108,NaN,NaN,23,10,-2
1,34,2,96,1.06279,NaN,NaN,129,129,131,131,NaN,NaN,-2,-2,NaN
1,34,2,97,-1.23821,NaN,NaN,128,NaN,129,129,NaN,NaN,NaN,NaN,-2
1,34,2,98,-5.30853,NaN,NaN,128,128,130,129,NaN,NaN,-1,-2,0
1,34,2,99,-5.03813,NaN,NaN,109,NaN,128,128,NaN,NaN,NaN,NaN,2
1,34,2,100,10.91138,NaN,NaN,100,109,115,128,NaN,NaN,-19,-6,20
1,34,3,101,1.10558,NaN,NaN,NaN,100,109,109,NaN,NaN,-9,-9,14
1,34,3,102,11.02787,NaN,NaN,NaN,101,100,100,NaN,NaN,1,1,-2
1,34,3,103,0.49981,1,NaN,112,112,101,101,NaN,NaN,11,11,0
1,34,3,104,-7.87168,-3,1,112,NaN,112,112,NaN,NaN,NaN,NaN,6
1,34,3,105,0.43924,1,-3,100,NaN,113,112,NaN,NaN,NaN,NaN,-4
1,34,3,106,3.60647,0,1,100,100,104,112,-13,-5,-12,-4,1
1,34,3,107,-8.45123,-1,0,100,NaN,100,100,NaN,NaN,NaN,NaN,-1
1,34,3,108,5.72094,2,-1,100,NaN,104,100,NaN,NaN,NaN,NaN,0
1,34,3,109,-9.84408,-3,2,100,100,95,100,-2,3,0,5,5
1,34,3,110,-0.27335,0,-3,100,NaN,100,100,NaN,NaN,NaN,NaN,4
1,34,3,111,7.24052,2,0,100,NaN,90,100,NaN,NaN,NaN,NaN,-1
1,34,3,112,-2.17166,-3,2,100,NaN,90,100,NaN,NaN,NaN,NaN,0
1,34,3,113,-4.72329,-3,-3,100,NaN,85,100,NaN,NaN,NaN,NaN,0
1,34,3,114,-7.14031,-4,-3,100,NaN,83,100,NaN,NaN,NaN,NaN,8
1,34,3,115,7.61315,2,-4,85,NaN,86,100,NaN,NaN,NaN,NaN,0
1,34,3,116,-1.73972,-1,2,91,85,87,100,-17,-4,-15,-2,3
1,34,3,117,-0.73619,0,-1,91,91,85,85,7,7,6,6,7
1,34,3,118,-3.15681,-1,0,91,NaN,91,91,NaN,NaN,NaN,NaN,0
1,34,3,119,0.75179,2,-1,88,NaN,90,91,NaN,NaN,NaN,NaN,2
1,34,3,120,-3.98697,-1,2,88,88,87,91,-5,-1,-3,1,1
1,34,3,121,6.69157,NaN,-1,NaN,NaN,88,88,NaN,NaN,NaN,NaN,0
1,34,3,122,-6.52469,-1,NaN,79,85,84,88,NaN,NaN,-3,1,1
1,34,3,123,5.30434,2,-1,85,79,85,85,-5,-5,-6,-6,0
1,34,3,124,-5.89656,-1,2,90,85,79,79,4,4,6,6,12
1,34,3,125,4.80769,1,-1,90,90,85,85,6,6,5,5,-2
1,34,3,126,-2.04426,0,1,95,NaN,90,90,NaN,NaN,NaN,NaN,0
1,34,3,127,1.37232,1,0,93,95,94,90,5,1,5,1,0
1,34,3,128,-2.49586,0,1,93,93,95,95,-3,-3,-2,-2,-1
1,34,3,129,9.25816,3,0,93,NaN,93,93,NaN,NaN,NaN,NaN,9
1,34,3,130,5.53535,2,3,93,NaN,91,93,NaN,NaN,NaN,NaN,0
1,34,3,131,-1.65769,2,2,93,NaN,99,93,NaN,NaN,NaN,NaN,5
1,34,3,132,1.03664,2,2,93,NaN,104,93,NaN,NaN,NaN,NaN,4
1,34,3,133,-6.75009,-2,2,93,NaN,110,93,NaN,NaN,NaN,NaN,3
1,34,3,134,-5.58264,-2,-2,113,NaN,111,93,NaN,NaN,NaN,NaN,7
1,34,3,135,-7.49917,-3,-2,105,113,104,93,22,11,20,9,3
1,34,3,136,13.41174,4,-3,105,105,113,113,-5,-5,-8,-8,8
1,34,3,137,1.60035,2,4,100,NaN,105,105,NaN,NaN,NaN,NaN,0
1,34,3,138,-10.19977,-4,2,90,100,101,105,-7,-3,-5,-1,-2
1,34,3,139,-0.71964,-2,-4,89,90,100,100,-6,-6,-10,-10,2
1,34,3,140,-1.11329,-1,-2,89,89,90,90,1,1,-1,-1,-1
1,34,3,141,3.70713,2,-1,91,NaN,89,89,NaN,NaN,NaN,NaN,-3
1,34,3,142,4.66616,3,2,88,91,88,89,0,1,2,3,3
1,34,3,143,-9.26686,-2,3,94,88,91,91,-6,-6,-3,-3,6
1,34,3,144,10.56749,2,-2,94,94,88,88,8,8,6,6,6
1,34,3,145,4.40538,2,2,102,NaN,94,94,NaN,NaN,NaN,NaN,6
1,34,3,146,-0.16885,0,2,102,102,104,94,6,-4,8,-2,10
