Subj,Trial,vWTP,MarketChange,AbsMarketChange,Val_1up,group_0placebo
34,1,20,7.221151287,7.221151287,1,1
34,2,5,2.121980691,2.121980691,1,1
34,6,3,0.411500547,0.411500547,1,1
34,11,-1,3.052780378,3.052780378,1,1
34,13,0,2.223108394,2.223108394,1,1
34,14,0,0.29566909,0.29566909,1,1
34,16,0,5.33175085,5.33175085,1,1
34,19,0,3.547785962,3.547785962,1,1
34,20,13,12.47301124,12.47301124,1,1
34,23,0,8.51745901,8.51745901,1,1
34,25,-12,0.715416421,0.715416421,1,1
34,26,0,3.398376151,3.398376151,1,1
34,27,-1,2.209344427,2.209344427,1,1
34,29,0,1.23368795,1.23368795,1,1
34,31,-1,7.94965817,7.94965817,1,1
34,35,0,0.461405109,0.461405109,1,1
34,36,12,5.01756989,5.01756989,1,1
34,37,-2,6.25989126,6.25989126,1,1
34,38,51,7.890791183,7.890791183,1,1
34,42,0,4.476411107,4.476411107,1,1
34,43,0,6.17959705,6.17959705,1,1
34,45,42,12.59475724,12.59475724,1,1
34,52,-2,4.799901262,4.799901262,1,1
34,53,2,2.85840499,2.85840499,1,1
34,54,1,2.185619751,2.185619751,1,1
34,56,0,4.4468626,4.4468626,1,1
34,59,-2,4.19011956,4.19011956,1,1
34,60,-1,4.392282748,4.392282748,1,1
34,61,0,0.643024287,0.643024287,1,1
34,62,5,0.060117952,0.060117952,1,1
34,64,-1,0.190997427,0.190997427,1,1
34,67,0,5.394500175,5.394500175,1,1
34,70,0,2.395628024,2.395628024,1,1
34,71,1,4.149262217,4.149262217,1,1
34,73,0,9.741459238,9.741459238,1,1
34,74,0,4.777691476,4.777691476,1,1
34,75,8,8.434011893,8.434011893,1,1
34,76,15,3.363206612,3.363206612,1,1
34,77,10,7.711001398,7.711001398,1,1
34,86,2,9.009380008,9.009380008,1,1
34,89,4,2.238363582,2.238363582,1,1
34,91,1,10.88254412,10.88254412,1,1
34,93,-3,12.13203987,12.13203987,1,1
34,94,20,8.582200875,8.582200875,1,1
34,100,20,10.91138018,10.91138018,1,1
34,101,14,1.105581814,1.105581814,1,1
34,102,-2,11.02787275,11.02787275,1,1
34,103,0,0.499809537,0.499809537,1,1
34,105,-4,0.439236635,0.439236635,1,1
34,106,1,3.606468272,3.606468272,1,1
34,108,0,5.72093662,5.72093662,1,1
34,111,-1,7.240519618,7.240519618,1,1
34,115,0,7.613151887,7.613151887,1,1
34,119,2,0.751789996,0.751789996,1,1
34,121,0,6.691573295,6.691573295,1,1
34,123,0,5.304343126,5.304343126,1,1
34,125,-2,4.807688227,4.807688227,1,1
34,127,0,1.372317941,1.372317941,1,1
34,129,9,9.258158619,9.258158619,1,1
34,130,0,5.535351988,5.535351988,1,1
34,132,4,1.036641453,1.036641453,1,1
34,136,8,13.41174465,13.41174465,1,1
34,137,0,1.600350358,1.600350358,1,1
34,141,-3,3.707127339,3.707127339,1,1
34,142,3,4.666160924,4.666160924,1,1
34,144,6,10.567492,10.567492,1,1
34,145,6,4.40537603,4.40537603,1,1
34,147,6,2.542380265,2.542380265,1,1
34,152,-15,9.608363664,9.608363664,1,1
34,155,11,6.012076508,6.012076508,1,1
34,156,5,7.144874224,7.144874224,1,1
34,159,0,3.355182937,3.355182937,1,1
34,161,15,0.264527352,0.264527352,1,1
34,162,9,7.516617725,7.516617725,1,1
34,164,3,9.508199782,9.508199782,1,1
34,168,-11,10.55431766,10.55431766,1,1
34,170,3,2.080467732,2.080467732,1,1
34,171,3,4.209675416,4.209675416,1,1
34,174,8,13.23737475,13.23737475,1,1
34,177,-3,4.120596867,4.120596867,1,1
34,179,4,4.27780242,4.27780242,1,1
34,181,8,4.492525173,4.492525173,1,1
34,184,22,3.593790446,3.593790446,1,1
34,185,14,3.748448822,3.748448822,1,1
34,187,9,3.406144933,3.406144933,1,1
34,189,5,6.819796322,6.819796322,1,1
34,191,4,7.097159253,7.097159253,1,1
34,193,21,6.624582906,6.624582906,1,1
34,194,7,7.359826709,7.359826709,1,1
34,195,8,2.236957051,2.236957051,1,1
34,198,22,2.994695,2.994695,1,1
34,199,5,1.609014096,1.609014096,1,1
35,4,2,0.841746684,0.841746684,1,1
35,5,54,5.107501405,5.107501405,1,1
35,6,1,8.872171363,8.872171363,1,1
35,7,0,4.891177404,4.891177404,1,1
35,11,0,4.6534921,4.6534921,1,1
35,12,-3,2.218605111,2.218605111,1,1
35,13,0,0.97932785,0.97932785,1,1
35,17,-1,13.15405339,13.15405339,1,1
35,18,0,1.015005599,1.015005599,1,1
35,19,0,0.179575133,0.179575133,1,1
35,20,1,4.606821067,4.606821067,1,1
35,21,-2,5.423358623,5.423358623,1,1
35,22,23,2.573862159,2.573862159,1,1
35,26,0,0.673983889,0.673983889,1,1
35,27,1,0.942508298,0.942508298,1,1
35,28,0,3.665092058,3.665092058,1,1
35,30,-16,0.467811203,0.467811203,1,1
35,34,0,5.356111601,5.356111601,1,1
35,35,34,2.51765969,2.51765969,1,1
35,38,0,3.633432706,3.633432706,1,1
35,41,0,3.257196125,3.257196125,1,1
35,43,0,4.952439361,4.952439361,1,1
35,44,2,6.991368179,6.991368179,1,1
35,45,0,1.816818164,1.816818164,1,1
35,46,0,1.282926829,1.282926829,1,1
35,47,6,1.365517379,1.365517379,1,1
35,48,3,2.220651161,2.220651161,1,1
35,53,2,1.240797757,1.240797757,1,1
35,54,0,0.097759988,0.097759988,1,1
35,55,0,6.38872263,6.38872263,1,1
35,56,1,4.190208249,4.190208249,1,1
35,59,45,6.061916234,6.061916234,1,1
35,60,2,3.44179738,3.44179738,1,1
35,61,0,11.06395819,11.06395819,1,1
35,65,1,8.181339509,8.181339509,1,1
35,67,-14,3.332919457,3.332919457,1,1
35,68,0,19.87588958,19.87588958,1,1
35,72,2,8.004120547,8.004120547,1,1
