Subj,Trial,vWTP,MarketChange,AbsMarketChange,Val_1up,group_0placebo
34,4,2,-5.727093167,5.727093167,0,1
34,7,1,-1.666006394,1.666006394,0,1
34,8,26,-5.292174228,5.292174228,0,1
34,9,53,-1.370199395,1.370199395,0,1
34,10,1,-0.892414223,0.892414223,0,1
34,12,1,-0.28786882,0.28786882,0,1
34,15,-3,-1.717156256,1.717156256,0,1
34,17,0,-1.915289401,1.915289401,0,1
34,18,-2,-2.029033747,2.029033747,0,1
34,21,3,-8.110541042,8.110541042,0,1
34,22,0,-8.067197125,8.067197125,0,1
34,24,2,-5.538109228,5.538109228,0,1
34,28,3,-1.625878066,1.625878066,0,1
34,30,-2,-1.796126198,1.796126198,0,1
34,33,4,-5.300004116,5.300004116,0,1
34,34,1,-9.700822232,9.700822232,0,1
34,39,3,-11.16749596,11.16749596,0,1
34,40,-1,-0.675908612,0.675908612,0,1
34,44,0,-1.878697407,1.878697407,0,1
34,46,16,-3.120530434,3.120530434,0,1
34,47,3,-3.538518051,3.538518051,0,1
34,48,0,-2.833143495,2.833143495,0,1
34,49,-3,-12.32827431,12.32827431,0,1
34,50,0,-0.254849275,0.254849275,0,1
34,51,24,-10.56858235,10.56858235,0,1
34,55,0,-2.328697824,2.328697824,0,1
34,57,-2,-3.90134288,3.90134288,0,1
34,58,0,-1.364635445,1.364635445,0,1
34,63,4,-2.788128678,2.788128678,0,1
34,65,3,-0.221758697,0.221758697,0,1
34,66,0,-6.915789185,6.915789185,0,1
34,68,28,-9.186396282,9.186396282,0,1
34,69,13,-7.107795883,7.107795883,0,1
34,72,17,-7.915942526,7.915942526,0,1
34,78,21,-6.59356675,6.59356675,0,1
34,79,0,-3.438353422,3.438353422,0,1
34,80,0,-1.074899998,1.074899998,0,1
34,81,-1,-1.419127967,1.419127967,0,1
34,82,0,-1.186193367,1.186193367,0,1
34,84,0,-1.638286249,1.638286249,0,1
34,85,0,-6.117106018,6.117106018,0,1
34,87,18,-6.23402493,6.23402493,0,1
34,88,1,-5.369557278,5.369557278,0,1
34,90,2,-2.479627611,2.479627611,0,1
34,92,-24,-5.277542833,5.277542833,0,1
34,95,-2,-1.342776199,1.342776199,0,1
34,97,-2,-1.238214875,1.238214875,0,1
34,98,0,-5.308528853,5.308528853,0,1
34,99,2,-5.038129161,5.038129161,0,1
34,104,6,-7.871676096,7.871676096,0,1
34,107,-1,-8.451234485,8.451234485,0,1
34,109,5,-9.844075967,9.844075967,0,1
34,110,4,-0.273351526,0.273351526,0,1
34,112,0,-2.171655162,2.171655162,0,1
34,113,0,-4.723285298,4.723285298,0,1
34,114,8,-7.14030654,7.14030654,0,1
34,116,3,-1.739715374,1.739715374,0,1
34,117,7,-0.73618537,0.73618537,0,1
34,118,0,-3.156807962,3.156807962,0,1
34,120,1,-3.986965544,3.986965544,0,1
34,122,1,-6.524691638,6.524691638,0,1
34,124,12,-5.896562932,5.896562932,0,1
34,126,0,-2.044255481,2.044255481,0,1
34,128,-1,-2.495863068,2.495863068,0,1
34,131,5,-1.65769402,1.65769402,0,1
34,133,3,-6.750088882,6.750088882,0,1
34,134,7,-5.582637295,5.582637295,0,1
34,135,3,-7.499168421,7.499168421,0,1
34,138,-2,-10.19976841,10.19976841,0,1
34,139,2,-0.719641346,0.719641346,0,1
34,140,-1,-1.113288615,1.113288615,0,1
34,143,6,-9.266855807,9.266855807,0,1
34,146,10,-0.168849371,0.168849371,0,1
34,148,-16,-3.665085207,3.665085207,0,1
34,149,3,-0.140579287,0.140579287,0,1
34,150,4,-0.064317721,0.064317721,0,1
34,151,11,-13.32329396,13.32329396,0,1
34,153,-3,-4.601062581,4.601062581,0,1
34,154,3,-5.758432654,5.758432654,0,1
34,157,13,-3.23730377,3.23730377,0,1
34,158,7,-8.051026426,8.051026426,0,1
34,160,-14,-8.242066216,8.242066216,0,1
34,163,0,-2.455174491,2.455174491,0,1
34,165,10,-2.144805729,2.144805729,0,1
34,166,-11,-4.074589018,4.074589018,0,1
